videolink,category,channel_name,post_text,platform
https://www.youtube.com/watch?v=257ipS0P_Qg,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=fpLHPA9DDQg,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=XDLLoscN25M,telefilms/funny,ARY TeleFilms,,youtube
https://www.youtube.com/watch?v=Z0eRVPfrtFo,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=0Lj7OVDP-Gs,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=2OeIK-x-sxY,funny,shokat jumma,,youtube
https://www.youtube.com/watch?v=2KiUTgYgcu8,news,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=kM_26aXPQhw,news,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=d2HZwSYLp5A,news,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=gcKeqPEl3Fo,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=5HOnAAsDGI4,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=QnRK9AbCPi0,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=rI0EoHjoLzs,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=_6bY6FdVW3k,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=7QA_jfq-hFk,poetry,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=PRDAiG2N8p8,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=xcxo5FGEPYY,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=HpU30OXA2qA,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=lNic7x_LwFw,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=MQjv8NPnF8Y,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=g_cO_RXMQ8g,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=XxmqJEH4eWQ,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=SINp4-HQdto,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=Zlf17_YumRk,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=DjOyVBf8bjU,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=HRQJMCFdGhg,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=9dgPV0l5zBQ,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=NZ101xoiTK8,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=Lnvz1nyVnfE,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=kYy6NT0UHFU,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=pmz88kv76mI,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=R39yHvWbv1k,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=Y-zjAQyYaqE,funny,Rizwana Kasmani,,youtube
https://www.youtube.com/watch?v=i49g_TiSEXI,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=f-fuPy2ksKU,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=RTRVPrEVr1w,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=d9Wj3i7z8t0,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=19SgeY0fY4w,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=h7gpjtC5kfE,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=cIqDHu2nCqs,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=w0wT8F9NQFc,news/interview ,MEMON NEWS HD,,youtube
https://www.youtube.com/watch?v=Bg88Ab4lIfI,news/interview ,MEMON NEWS HD,,youtube
